"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0100000US","United States","334922499","*****",
"0400000US17","Illinois","12694798","*****",
"1400000US17031090100","Census Tract 901; Cook County; Illinois","3567","468",
"1400000US17031090200","Census Tract 902; Cook County; Illinois","6618","891",
"1400000US17031090300","Census Tract 903; Cook County; Illinois","1373","199",
"1400000US17031100100","Census Tract 1001; Cook County; Illinois","5850","880",
"1400000US17031100200","Census Tract 1002; Cook County; Illinois","7742","859",
"1400000US17031100300","Census Tract 1003; Cook County; Illinois","6495","623",
"1400000US17031100400","Census Tract 1004; Cook County; Illinois","3350","518",
"1400000US17031100500","Census Tract 1005; Cook County; Illinois","5952","677",
"1400000US17031100600","Census Tract 1006; Cook County; Illinois","4806","568",
"1400000US17031100700","Census Tract 1007; Cook County; Illinois","5335","685",
"1400000US17031110100","Census Tract 1101; Cook County; Illinois","5401","893",
"1400000US17031110200","Census Tract 1102; Cook County; Illinois","2871","545",
"1400000US17031110300","Census Tract 1103; Cook County; Illinois","5183","768",
"1400000US17031110400","Census Tract 1104; Cook County; Illinois","4658","489",
"1400000US17031110501","Census Tract 1105.01; Cook County; Illinois","5017","584",
"1400000US17031110502","Census Tract 1105.02; Cook County; Illinois","3519","572",
"1400000US17031120100","Census Tract 1201; Cook County; Illinois","4284","537",
"1400000US17031120200","Census Tract 1202; Cook County; Illinois","4600","495",
"1400000US17031120300","Census Tract 1203; Cook County; Illinois","7025","718",
"1400000US17031120400","Census Tract 1204; Cook County; Illinois","3992","536",
"1400000US17031130100","Census Tract 1301; Cook County; Illinois","5418","882",
"1400000US17031130200","Census Tract 1302; Cook County; Illinois","1394","289",
"1400000US17031130300","Census Tract 1303; Cook County; Illinois","4944","658",
"1400000US17031140100","Census Tract 1401; Cook County; Illinois","3610","562",
"1400000US17031140200","Census Tract 1402; Cook County; Illinois","6048","699",
"1400000US17031140301","Census Tract 1403.01; Cook County; Illinois","2715","535",
"1400000US17031140302","Census Tract 1403.02; Cook County; Illinois","3407","370",
"1400000US17031140400","Census Tract 1404; Cook County; Illinois","5850","826",
"1400000US17031140500","Census Tract 1405; Cook County; Illinois","3315","462",
"1400000US17031140601","Census Tract 1406.01; Cook County; Illinois","2468","405",
"1400000US17031140602","Census Tract 1406.02; Cook County; Illinois","4211","716",
"1400000US17031140701","Census Tract 1407.01; Cook County; Illinois","2870","500",
"1400000US17031140702","Census Tract 1407.02; Cook County; Illinois","5120","667",
"1400000US17031140800","Census Tract 1408; Cook County; Illinois","5924","837",
"1400000US17031150200","Census Tract 1502; Cook County; Illinois","7406","1199",
"1400000US17031150300","Census Tract 1503; Cook County; Illinois","7180","746",
"1400000US17031150401","Census Tract 1504.01; Cook County; Illinois","5310","859",
"1400000US17031150402","Census Tract 1504.02; Cook County; Illinois","3923","472",
"1400000US17031150501","Census Tract 1505.01; Cook County; Illinois","3935","489",
"1400000US17031150502","Census Tract 1505.02; Cook County; Illinois","4460","622",
"1400000US17031150600","Census Tract 1506; Cook County; Illinois","4036","613",
"1400000US17031150700","Census Tract 1507; Cook County; Illinois","3915","832",
"1400000US17031150800","Census Tract 1508; Cook County; Illinois","4652","785",
"1400000US17031151001","Census Tract 1510.01; Cook County; Illinois","2616","399",
"1400000US17031151002","Census Tract 1510.02; Cook County; Illinois","4473","807",
"1400000US17031151100","Census Tract 1511; Cook County; Illinois","5408","697",
"1400000US17031151200","Census Tract 1512; Cook County; Illinois","3447","509",
"1400000US17031160100","Census Tract 1601; Cook County; Illinois","2614","399",
"1400000US17031160200","Census Tract 1602; Cook County; Illinois","3363","389",
"1400000US17031160300","Census Tract 1603; Cook County; Illinois","3567","461",
"1400000US17031160400","Census Tract 1604; Cook County; Illinois","5419","723",
"1400000US17031160501","Census Tract 1605.01; Cook County; Illinois","3524","489",
"1400000US17031160502","Census Tract 1605.02; Cook County; Illinois","4227","832",
"1400000US17031160601","Census Tract 1606.01; Cook County; Illinois","3049","459",
"1400000US17031160602","Census Tract 1606.02; Cook County; Illinois","3418","376",
"1400000US17031160700","Census Tract 1607; Cook County; Illinois","6093","930",
"1400000US17031160800","Census Tract 1608; Cook County; Illinois","4677","881",
"1400000US17031160900","Census Tract 1609; Cook County; Illinois","2496","422",
"1400000US17031161000","Census Tract 1610; Cook County; Illinois","2060","302",
"1400000US17031161100","Census Tract 1611; Cook County; Illinois","2098","232",
"1400000US17031161200","Census Tract 1612; Cook County; Illinois","2837","495",
"1400000US17031161300","Census Tract 1613; Cook County; Illinois","3890","685",
"1400000US17031170100","Census Tract 1701; Cook County; Illinois","2085","331",
"1400000US17031170200","Census Tract 1702; Cook County; Illinois","3553","667",
"1400000US17031170300","Census Tract 1703; Cook County; Illinois","4794","609",
"1400000US17031170400","Census Tract 1704; Cook County; Illinois","4074","614",
"1400000US17031170500","Census Tract 1705; Cook County; Illinois","4899","840",
"1400000US17031170600","Census Tract 1706; Cook County; Illinois","2500","352",
"1400000US17031170700","Census Tract 1707; Cook County; Illinois","3323","584",
"1400000US17031170800","Census Tract 1708; Cook County; Illinois","4097","461",
"1400000US17031170900","Census Tract 1709; Cook County; Illinois","1854","475",
"1400000US17031171000","Census Tract 1710; Cook County; Illinois","6178","783",
"1400000US17031171100","Census Tract 1711; Cook County; Illinois","3876","565",
"1400000US17031180100","Census Tract 1801; Cook County; Illinois","7040","999",
"1400000US17031190100","Census Tract 1901; Cook County; Illinois","2423","508",
"1400000US17031190200","Census Tract 1902; Cook County; Illinois","5766","944",
"1400000US17031190300","Census Tract 1903; Cook County; Illinois","5728","677",
"1400000US17031190401","Census Tract 1904.01; Cook County; Illinois","3855","471",
"1400000US17031190402","Census Tract 1904.02; Cook County; Illinois","4580","873",
"1400000US17031190601","Census Tract 1906.01; Cook County; Illinois","3788","939",
"1400000US17031190602","Census Tract 1906.02; Cook County; Illinois","5745","1081",
"1400000US17031190701","Census Tract 1907.01; Cook County; Illinois","2684","690",
"1400000US17031190702","Census Tract 1907.02; Cook County; Illinois","4392","659",
"1400000US17031190800","Census Tract 1908; Cook County; Illinois","6018","1378",
"1400000US17031190900","Census Tract 1909; Cook County; Illinois","1818","591",
"1400000US17031191000","Census Tract 1910; Cook County; Illinois","2315","522",
"1400000US17031191100","Census Tract 1911; Cook County; Illinois","6279","1455",
"1400000US17031191200","Census Tract 1912; Cook County; Illinois","3836","938",
"1400000US17031191301","Census Tract 1913.01; Cook County; Illinois","4856","878",
"1400000US17031191302","Census Tract 1913.02; Cook County; Illinois","4227","788",
"1400000US17031200100","Census Tract 2001; Cook County; Illinois","4004","588",
"1400000US17031200200","Census Tract 2002; Cook County; Illinois","4601","876",
"1400000US17031200300","Census Tract 2003; Cook County; Illinois","1858","379",
"1400000US17031200401","Census Tract 2004.01; Cook County; Illinois","3138","608",
"1400000US17031200402","Census Tract 2004.02; Cook County; Illinois","4378","753",
"1400000US17031210100","Census Tract 2101; Cook County; Illinois","4206","578",
"1400000US17031210400","Census Tract 2104; Cook County; Illinois","3095","679",
"1400000US17031210501","Census Tract 2105.01; Cook County; Illinois","2899","466",
"1400000US17031210502","Census Tract 2105.02; Cook County; Illinois","4300","700",
"1400000US17031210601","Census Tract 2106.01; Cook County; Illinois","2429","436",
"1400000US17031210602","Census Tract 2106.02; Cook County; Illinois","3942","744",
"1400000US17031210700","Census Tract 2107; Cook County; Illinois","3769","639",
"1400000US17031210800","Census Tract 2108; Cook County; Illinois","1073","155",
"1400000US17031210900","Census Tract 2109; Cook County; Illinois","3060","348",
"1400000US17031220300","Census Tract 2203; Cook County; Illinois","2142","300",
"1400000US17031220400","Census Tract 2204; Cook County; Illinois","2530","458",
"1400000US17031220500","Census Tract 2205; Cook County; Illinois","2897","401",
"1400000US17031220601","Census Tract 2206.01; Cook County; Illinois","1680","234",
"1400000US17031220602","Census Tract 2206.02; Cook County; Illinois","4358","705",
"1400000US17031220701","Census Tract 2207.01; Cook County; Illinois","2851","497",
"1400000US17031220702","Census Tract 2207.02; Cook County; Illinois","3903","603",
"1400000US17031220901","Census Tract 2209.01; Cook County; Illinois","2994","401",
"1400000US17031220902","Census Tract 2209.02; Cook County; Illinois","3020","518",
"1400000US17031221000","Census Tract 2210; Cook County; Illinois","2504","490",
"1400000US17031221100","Census Tract 2211; Cook County; Illinois","4186","669",
"1400000US17031221200","Census Tract 2212; Cook County; Illinois","3096","477",
"1400000US17031221300","Census Tract 2213; Cook County; Illinois","2769","370",
"1400000US17031221400","Census Tract 2214; Cook County; Illinois","2995","422",
"1400000US17031221500","Census Tract 2215; Cook County; Illinois","3237","517",
"1400000US17031221600","Census Tract 2216; Cook County; Illinois","3406","499",
"1400000US17031222200","Census Tract 2222; Cook County; Illinois","2151","312",
"1400000US17031222500","Census Tract 2225; Cook County; Illinois","1241","279",
"1400000US17031222600","Census Tract 2226; Cook County; Illinois","1465","218",
"1400000US17031222700","Census Tract 2227; Cook County; Illinois","2035","419",
"1400000US17031222800","Census Tract 2228; Cook County; Illinois","945","270",
"1400000US17031222900","Census Tract 2229; Cook County; Illinois","1171","254",
"1400000US17031230100","Census Tract 2301; Cook County; Illinois","1516","300",
"1400000US17031230200","Census Tract 2302; Cook County; Illinois","1936","395",
"1400000US17031230300","Census Tract 2303; Cook County; Illinois","967","289",
"1400000US17031230400","Census Tract 2304; Cook County; Illinois","2122","399",
"1400000US17031230500","Census Tract 2305; Cook County; Illinois","3673","616",
"1400000US17031230600","Census Tract 2306; Cook County; Illinois","8582","2145",
"1400000US17031230700","Census Tract 2307; Cook County; Illinois","5345","1252",
"1400000US17031230800","Census Tract 2308; Cook County; Illinois","993","253",
"1400000US17031230900","Census Tract 2309; Cook County; Illinois","4792","692",
"1400000US17031231100","Census Tract 2311; Cook County; Illinois","1248","275",
"1400000US17031231200","Census Tract 2312; Cook County; Illinois","6098","1337",
"1400000US17031231500","Census Tract 2315; Cook County; Illinois","6045","1436",
"1400000US17031240200","Census Tract 2402; Cook County; Illinois","1743","428",
"1400000US17031240300","Census Tract 2403; Cook County; Illinois","1299","187",
"1400000US17031240500","Census Tract 2405; Cook County; Illinois","2329","381",
"1400000US17031240600","Census Tract 2406; Cook County; Illinois","1739","255",
"1400000US17031240700","Census Tract 2407; Cook County; Illinois","1509","260",
"1400000US17031240800","Census Tract 2408; Cook County; Illinois","1583","195",
